response_id	grna_group
p14.dialup	sgRNA_21974644.21975049_21974982_gene
CDKN2B	sgRNA_21974644.21975049_21974989_gene
p16.dialup	sgRNA_21974644.21975049_21974989_gene
p14.dialup	sgRNA_21974644.21975049_21974989_gene
CDKN2B	sgRNA_21974644.21975049_21975008_gene
p16.dialup	sgRNA_21974644.21975049_21975008_gene
p14.dialup	sgRNA_21974644.21975049_21975008_gene
CDKN2B	sgRNA_21974644.21975049_21975032_gene
p16.dialup	sgRNA_21974644.21975049_21975032_gene
p14.dialup	sgRNA_21974644.21975049_21975032_gene
CDKN2B	sgRNA_21975050.21975381_21975067_gene
p16.dialup	sgRNA_21975050.21975381_21975067_gene
p14.dialup	sgRNA_21975050.21975381_21975067_gene
CDKN2B	sgRNA_21975050.21975381_21975294_gene
p16.dialup	sgRNA_21975050.21975381_21975294_gene
p14.dialup	sgRNA_21975050.21975381_21975294_gene
CDKN2B	sgRNA_21975050.21975381_21975306_gene
p16.dialup	sgRNA_21975050.21975381_21975306_gene
p14.dialup	sgRNA_21975050.21975381_21975306_gene
CDKN2B	sgRNA_21975050.21975381_21975309_gene
p16.dialup	sgRNA_21975050.21975381_21975309_gene
p14.dialup	sgRNA_21975050.21975381_21975309_gene
CDKN2B	sgRNA_21975473.21975815_21975584_gene
p16.dialup	sgRNA_21975473.21975815_21975584_gene
p14.dialup	sgRNA_21975473.21975815_21975584_gene
CDKN2B	sgRNA_21975473.21975815_21975679_gene
p16.dialup	sgRNA_21975473.21975815_21975679_gene
p14.dialup	sgRNA_21975473.21975815_21975679_gene
CDKN2B	sgRNA_21975473.21975815_21975682_gene
p16.dialup	sgRNA_21975473.21975815_21975682_gene
p14.dialup	sgRNA_21975473.21975815_21975682_gene
CDKN2B	sgRNA_21975473.21975815_21975716_gene
p16.dialup	sgRNA_21975473.21975815_21975716_gene
p14.dialup	sgRNA_21975473.21975815_21975716_gene
CDKN2B	sgRNA_21975838.21975990_21975893_gene
p16.dialup	sgRNA_21975838.21975990_21975893_gene
p14.dialup	sgRNA_21975838.21975990_21975893_gene
CDKN2B	sgRNA_21975838.21975990_21975937_gene
p16.dialup	sgRNA_21975838.21975990_21975937_gene
p14.dialup	sgRNA_21975838.21975990_21975937_gene
CDKN2B	sgRNA_21976337.21976594_21976425_gene
p16.dialup	sgRNA_21976337.21976594_21976425_gene
p14.dialup	sgRNA_21976337.21976594_21976425_gene
CDKN2B	sgRNA_21976337.21976594_21976434_gene
p16.dialup	sgRNA_21976337.21976594_21976434_gene
p14.dialup	sgRNA_21976337.21976594_21976434_gene
CDKN2B	sgRNA_21976337.21976594_21976440_gene
p16.dialup	sgRNA_21976337.21976594_21976440_gene
p14.dialup	sgRNA_21976337.21976594_21976440_gene
CDKN2B	sgRNA_21976337.21976594_21976443_gene
p16.dialup	sgRNA_21976337.21976594_21976443_gene
p14.dialup	sgRNA_21976337.21976594_21976443_gene
CDKN2B	sgRNA_21982447.21983001_21982837_gene
p16.dialup	sgRNA_21982447.21983001_21982837_gene
p14.dialup	sgRNA_21982447.21983001_21982837_gene
CDKN2B	sgRNA_21982447.21983001_21982957_gene
p16.dialup	sgRNA_21982447.21983001_21982957_gene
p14.dialup	sgRNA_21982447.21983001_21982957_gene
CDKN2B	sgRNA_21982447.21983001_21982966_gene
p16.dialup	sgRNA_21982447.21983001_21982966_gene
p14.dialup	sgRNA_21982447.21983001_21982966_gene
CDKN2B	sgRNA_21982447.21983001_21983001_gene
p16.dialup	sgRNA_21982447.21983001_21983001_gene
p14.dialup	sgRNA_21982447.21983001_21983001_gene
CDKN2B	sgRNA_21983545.21983947_21983675_gene
p16.dialup	sgRNA_21983545.21983947_21983675_gene
p14.dialup	sgRNA_21983545.21983947_21983675_gene
CDKN2B	sgRNA_21983545.21983947_21983759_gene
p16.dialup	sgRNA_21983545.21983947_21983759_gene
p14.dialup	sgRNA_21983545.21983947_21983759_gene
CDKN2B	sgRNA_21983545.21983947_21983839_gene
p16.dialup	sgRNA_21983545.21983947_21983839_gene
p14.dialup	sgRNA_21983545.21983947_21983839_gene
CDKN2B	sgRNA_21983545.21983947_21983884_gene
p16.dialup	sgRNA_21983545.21983947_21983884_gene
p14.dialup	sgRNA_21983545.21983947_21983884_gene
CDKN2B	sgRNA_21984590.21984842_21984707_gene
p16.dialup	sgRNA_21984590.21984842_21984707_gene
p14.dialup	sgRNA_21984590.21984842_21984707_gene
CDKN2B	sgRNA_21984590.21984842_21984730_gene
p16.dialup	sgRNA_21984590.21984842_21984730_gene
p14.dialup	sgRNA_21984590.21984842_21984730_gene
CDKN2B	sgRNA_21984590.21984842_21984745_gene
p16.dialup	sgRNA_21984590.21984842_21984745_gene
p14.dialup	sgRNA_21984590.21984842_21984745_gene
CDKN2B	sgRNA_21986846.21987062_21986874_gene
p16.dialup	sgRNA_21986846.21987062_21986874_gene
p14.dialup	sgRNA_21986846.21987062_21986874_gene
CDKN2B	sgRNA_21986846.21987062_21986954_gene
p16.dialup	sgRNA_21986846.21987062_21986954_gene
p14.dialup	sgRNA_21986846.21987062_21986954_gene
CDKN2B	sgRNA_21987490.21987738_21987621_gene
p16.dialup	sgRNA_21987490.21987738_21987621_gene
p14.dialup	sgRNA_21987490.21987738_21987621_gene
CDKN2B	sgRNA_21987490.21987738_21987691_gene
p16.dialup	sgRNA_21987490.21987738_21987691_gene
p14.dialup	sgRNA_21987490.21987738_21987691_gene
CDKN2B	sgRNA_21987490.21987738_21987715_gene
p16.dialup	sgRNA_21987490.21987738_21987715_gene
p14.dialup	sgRNA_21987490.21987738_21987715_gene
CDKN2B	sgRNA_21987490.21987738_21987739_gene
p16.dialup	sgRNA_21987490.21987738_21987739_gene
p14.dialup	sgRNA_21987490.21987738_21987739_gene
CDKN2B	sgRNA_21988344.21989004_21988643_gene
p16.dialup	sgRNA_21988344.21989004_21988643_gene
p14.dialup	sgRNA_21988344.21989004_21988643_gene
CDKN2B	sgRNA_21988344.21989004_21988773_gene
p16.dialup	sgRNA_21988344.21989004_21988773_gene
p14.dialup	sgRNA_21988344.21989004_21988773_gene
CDKN2B	sgRNA_21988344.21989004_21988927_gene
p16.dialup	sgRNA_21988344.21989004_21988927_gene
p14.dialup	sgRNA_21988344.21989004_21988927_gene
CDKN2B	sgRNA_21988344.21989004_21989001_gene
p16.dialup	sgRNA_21988344.21989004_21989001_gene
p14.dialup	sgRNA_21988344.21989004_21989001_gene
CDKN2B	sgRNA_21989448.21989770_21989604_gene
p16.dialup	sgRNA_21989448.21989770_21989604_gene
p14.dialup	sgRNA_21989448.21989770_21989604_gene
CDKN2B	sgRNA_21989448.21989770_21989608_gene
p16.dialup	sgRNA_21989448.21989770_21989608_gene
p14.dialup	sgRNA_21989448.21989770_21989608_gene
CDKN2B	sgRNA_21989448.21989770_21989618_gene
p16.dialup	sgRNA_21989448.21989770_21989618_gene
p14.dialup	sgRNA_21989448.21989770_21989618_gene
CDKN2B	sgRNA_21989448.21989770_21989748_gene
p16.dialup	sgRNA_21989448.21989770_21989748_gene
p14.dialup	sgRNA_21989448.21989770_21989748_gene
CDKN2B	sgRNA_21989846.21990150_21989850_gene
p16.dialup	sgRNA_21989846.21990150_21989850_gene
p14.dialup	sgRNA_21989846.21990150_21989850_gene
CDKN2B	sgRNA_21989846.21990150_21989891_gene
p16.dialup	sgRNA_21989846.21990150_21989891_gene
p14.dialup	sgRNA_21989846.21990150_21989891_gene
CDKN2B	sgRNA_21989846.21990150_21989918_gene
p16.dialup	sgRNA_21989846.21990150_21989918_gene
p14.dialup	sgRNA_21989846.21990150_21989918_gene
CDKN2B	sgRNA_21989846.21990150_21990131_gene
p16.dialup	sgRNA_21989846.21990150_21990131_gene
p14.dialup	sgRNA_21989846.21990150_21990131_gene
CDKN2B	sgRNA_21990239.21990463_21990332_gene
p16.dialup	sgRNA_21990239.21990463_21990332_gene
p14.dialup	sgRNA_21990239.21990463_21990332_gene
CDKN2B	sgRNA_21990239.21990463_21990360_gene
p16.dialup	sgRNA_21990239.21990463_21990360_gene
p14.dialup	sgRNA_21990239.21990463_21990360_gene
CDKN2B	sgRNA_21990239.21990463_21990451_gene
p16.dialup	sgRNA_21990239.21990463_21990451_gene
p14.dialup	sgRNA_21990239.21990463_21990451_gene
CDKN2B	sgRNA_21991610.21991964_21991666_gene
p16.dialup	sgRNA_21991610.21991964_21991666_gene
p14.dialup	sgRNA_21991610.21991964_21991666_gene
CDKN2B	sgRNA_21991610.21991964_21991696_gene
p16.dialup	sgRNA_21991610.21991964_21991696_gene
p14.dialup	sgRNA_21991610.21991964_21991696_gene
CDKN2B	sgRNA_21991610.21991964_21991847_gene
p16.dialup	sgRNA_21991610.21991964_21991847_gene
